"palavras","sentimentos"
"abundancia","positivo"
"abundante","positivo"
"acalmar","positivo"
"acalmaram","positivo"
"acalmasse","positivo"
"acalmassem","positivo"
"acalmava","positivo"
"acalmavam","positivo"
"acalme","positivo"
"acalmem","positivo"
"acalmou","positivo"
"acelera","positivo"
"aceleracao","positivo"
"aceleracoes","positivo"
"acelerada","positivo"
"aceleradamente","positivo"
"aceleradas","positivo"
"aceleradissimo","positivo"
"acelerado","positivo"
"aceleradores","positivo"
"acelerados","positivo"
"aceleram","positivo"
"aceleramos","positivo"
"acelerando","positivo"
"acelerar","positivo"
"acelerara","positivo"
"aceleraram","positivo"
"acelerarao","positivo"
"acelerarem","positivo"
"acelerasse","positivo"
"acelerassem","positivo"
"acelerava","positivo"
"aceleravam","positivo"
"acelere","positivo"
"acelerem","positivo"
"acelerou","positivo"
"acendem","positivo"
"acendendo","positivo"
"acender","positivo"
"acendera","positivo"
"acenderam","positivo"
"acenderem","positivo"
"acenderia","positivo"
"acenderiam","positivo"
"acendesse","positivo"
"acendessem","positivo"
"acendeu","positivo"
"acendia","positivo"
"acendiam","positivo"
"acertada","positivo"
"acertadamente","positivo"
"acertado","positivo"
"acertar","positivo"
"acertara","positivo"
"acertaram","positivo"
"acertarem","positivo"
"acertarmos","positivo"
"acertasse","positivo"
"acertassem","positivo"
"acerto","positivo"
"acertos","positivo"
"acertou","positivo"
"acolhia","positivo"
"acolhiam","positivo"
"acolhidas","positivo"
"acolhido","positivo"
"acolhimento","positivo"
"acolhimentos","positivo"
"acreditam","positivo"
"acreditar","positivo"
"acreditara","positivo"
"acreditaram","positivo"
"acreditarao","positivo"
"acreditarem","positivo"
"acreditava","positivo"
"acreditavam","positivo"
"acrescenta","positivo"
"acrescentada","positivo"
"acrescentadas","positivo"
"acrescentado","positivo"
"acrescentados","positivo"
"acrescentam","positivo"
"acrescentando","positivo"
"acrescentar","positivo"
"acrescentara","positivo"
"acrescentaram","positivo"
"acrescentarao","positivo"
"acrescentarem","positivo"
"acrescentariam","positivo"
"acrescentariamos","positivo"
"acrescentasse","positivo"
"acrescentassemos","positivo"
"acrescentavam","positivo"
"acrescente","positivo"
"acrescentem","positivo"
"acrescentemos","positivo"
"acrescentou","positivo"
"acrescer","positivo"
"acresceu","positivo"
"acrescida","positivo"
"acrescidas","positivo"
"acrescido","positivo"
"acrescidos","positivo"
"acrescimo","positivo"
"acrescimos","positivo"
"acumulam","positivo"
"acumulando","positivo"
"acumular","positivo"
"acumulara","positivo"
"acumularam","positivo"
"acumularao","positivo"
"acumularem","positivo"
"acumularia","positivo"
"acumulariam","positivo"
"acumularmos","positivo"
"acumulas","positivo"
"acumulasse","positivo"
"acumulassem","positivo"
"acumulativo","positivo"
"acumulava","positivo"
"acumulavam","positivo"
"acumulem","positivo"
"acumulou","positivo"
"adequada","positivo"
"adequadamente","positivo"
"adequadas","positivo"
"adequado","positivo"
"adequados","positivo"
"adequar","positivo"
"adequarmos","positivo"
"adequavam","positivo"
"adeque","positivo"
"adequem","positivo"
"admitir","positivo"
"admitiram","positivo"
"admitiu","positivo"
"agradavel","positivo"
"agrega","positivo"
"agregacao","positivo"
"agregacoes","positivo"
"agregam","positivo"
"agregando","positivo"
"agregar","positivo"
"agregaram","positivo"
"agregarem","positivo"
"agregarmos","positivo"
"agregavam","positivo"
"agregou","positivo"
"agreguem","positivo"
"ajudar","positivo"
"ajudara","positivo"
"ajudaram","positivo"
"ajudarao","positivo"
"ajudarem","positivo"
"ajudaria","positivo"
"ajudariam","positivo"
"ajudas","positivo"
"ajudava","positivo"
"ajudavam","positivo"
"ajudem","positivo"
"ajudou","positivo"
"alavancagens","positivo"
"alavancam","positivo"
"alavancando","positivo"
"alavancar","positivo"
"alavancara","positivo"
"alavancaram","positivo"
"alavancarem","positivo"
"alavancaria","positivo"
"alavancas","positivo"
"alavancasse","positivo"
"alavancou","positivo"
"alcancada","positivo"
"alcancado","positivo"
"alcancando","positivo"
"alcancar","positivo"
"alcancara","positivo"
"alcancaram","positivo"
"alcancarao","positivo"
"alcancarem","positivo"
"alcancaremos","positivo"
"alcancaria","positivo"
"alcancariam","positivo"
"alcancariamos","positivo"
"alcancarmos","positivo"
"alcancava","positivo"
"alcancavam","positivo"
"alcancavel","positivo"
"alcance","positivo"
"alcancem","positivo"
"alcancou","positivo"
"aliada","positivo"
"aliadas","positivo"
"aliado","positivo"
"aliados","positivo"
"aliam","positivo"
"aliamos","positivo"
"alianca","positivo"
"aliancas","positivo"
"aliar","positivo"
"aliaram","positivo"
"aliarem","positivo"
"aliarmos","positivo"
"alicerca","positivo"
"alicercada","positivo"
"alicercadas","positivo"
"alicercado","positivo"
"alicercados","positivo"
"alicercam","positivo"
"alicercar","positivo"
"alicerce","positivo"
"alicerces","positivo"
"alicercou","positivo"
"alinha","positivo"
"alinhada","positivo"
"alinhadas","positivo"
"alinhado","positivo"
"alinham","positivo"
"alinhamento","positivo"
"alinhamentos","positivo"
"alinhar","positivo"
"alinharam","positivo"
"alinharao","positivo"
"aliou","positivo"
"alivia","positivo"
"aliviada","positivo"
"aliviadas","positivo"
"aliviadissima","positivo"
"aliviado","positivo"
"aliviados","positivo"
"aliviam","positivo"
"aliviando","positivo"
"aliviar","positivo"
"aliviara","positivo"
"aliviaram","positivo"
"aliviarao","positivo"
"aliviarem","positivo"
"aliviariam","positivo"
"aliviasse","positivo"
"aliviassem","positivo"
"aliviava","positivo"
"alivio","positivo"
"alivios","positivo"
"aliviou","positivo"
"amparo","positivo"
